vertex_index,x,y,z,nx,ny,nz
392,-1.463900,0.233324,4.602370,-0.023458,-0.875827,0.482054
393,-1.051060,0.456088,4.628410,-0.643059,0.346130,0.683132
394,-1.038250,0.457166,4.621720,0.721696,0.674483,0.155651
395,-1.046630,0.451701,4.611240,-0.303271,-0.041479,-0.952001
396,-2.349340,0.156724,4.551490,-0.076281,-0.446137,0.891708
397,-2.355610,0.165182,4.541710,-0.887968,0.459206,-0.025356
398,-2.347860,0.158494,4.531630,0.061531,-0.281424,-0.957609
399,1.146730,1.845140,4.838950,-0.143328,-0.280886,0.948979
400,1.149960,1.842730,4.819490,0.155235,-0.503787,-0.849765
401,1.155530,1.852360,4.829370,0.863347,0.497907,0.081981
